s (0, 0, mpf('0.0010997613108250685769490681362672434162005368425152800754806941508097919136081822022783567591824973885691212829037162872414999749427263869592350951415081318665916175323407329819116427375559541951028993073'), [0, 0, mpf('-1.0'), 0, 0, mpf('1.0'), 0, mpf('1.0'), 0, mpf('-2.0')])
s (0, 0, mpf('0.0011523306546543428627214259852869304440822704750595974453948741250306224569347316358844534876999136118074319924761688785278156579909526012875785637320036781258899654663070178743226651470676324448258514847'), [0, 0, mpf('-2.0'), mpf('0.0'), mpf('1.0'), mpf('-1.0'), 0, 0, mpf('-4.0'), mpf('-6.0')])
s (0, 0, mpf('0.0011353307775009678139834654093068901787396590992911112736095521957126932418500131141849847311626821674074000853507131080606561210153246750429668032923427939788587840816741032373682657965190328615296443541'), [mpf('-1.0'), 0, 0, mpf('-1.0'), 0, mpf('-1.0'), 0, mpf('1.0'), 0, mpf('-3.0')])
s (0, 0, mpf('0.0010156165084091090124543710603412767465921104374360240609103703331128486286993788202624031309348624752170914586608046610372025747072921372774321505461477995958064072203400145190753474303218048999126381028'), [0, mpf('-1.0'), mpf('1.0'), mpf('-1.0'), mpf('1.0'), mpf('1.0'), mpf('2.0'), mpf('1.0'), 0, mpf('-4.0')])
s (0, 0, mpf('0.0010265107197561908634182491845562611498357625651076749965279024765400262996794529408888614366105052624658897068547438870081859774747140458641182119414820838927345302189687524290242589016308373848416746995'), [0, mpf('-2.0'), 0, mpf('-1.0'), mpf('1.0'), 0, mpf('0.0'), mpf('1.0'), mpf('-1.0'), mpf('-2.0')])
s (0, 0, mpf('0.0012648529589138441595971207487697360816014309571179872306434605109083145577002000764682914134506595541876963345353580602078751809221762267945138363554679838610550146520331507947063392780348209098706293304'), [0, 0, 0, mpf('-1.0'), 0, mpf('1.0'), mpf('-1.0'), 0, 0, mpf('-1.0')])
s (0, 0, mpf('0.0010505218552038666648680169085561270871466474361314425382812423432424059466370573280200667355132981128763355515084206724898290054880872723209312086733407392982474606630144754580622576912926491215716684819'), [mpf('0.0'), mpf('2.0'), mpf('1.0'), mpf('-1.0'), mpf('4.0'), mpf('-2.0'), mpf('-1.0'), mpf('2.0'), mpf('0.0'), mpf('-2.0')])
s (0, 0, mpf('0.001311429061378930110754916302741138447480494032385689565633366156616391706677768917151596219462267578160908714941119399657229752348153527546696015275179332853099300721145901457971230722783408092213155491'), [mpf('-1.0'), 0, mpf('1.0'), mpf('1.0'), 0, 0, 0, 0, 0, mpf('-3.0')])
s (0, 0, mpf('0.0010807671574461000822995229041933523001530686122669792663990603705660250922311347558257744168436759113907398520908631150085217884430824547647908201777003311214186729449699168626160333551227625223315049422'), [0, 0, mpf('-1.0'), mpf('-1.0'), mpf('-1.0'), mpf('0.0'), 0, 0, 0, mpf('-3.0')])
s (0, 0, mpf('0.0012133779163200018481453566163802179540454103449402127221841490840492033307211179081214910871390974233631564086113651910372598356379903745862095527299606484539638404346779349982831108322581159710326613203'), [0, 0, mpf('-1.0'), 0, 0, 0, mpf('-1.0'), 0, 0, mpf('-2.0')])
s (0, 0, mpf('0.0010160557894249122470199990324042399617831776812376181559729197137218235998477738398806935046700721187911641762904326707196053609293092491644805859057095461738827197276590027276761027587192523775026171792'), [mpf('2.0'), mpf('2.0'), mpf('3.0'), mpf('0.0'), mpf('-1.0'), mpf('-1.0'), mpf('2.0'), mpf('-4.0'), mpf('0.0'), mpf('-7.0')])
s (0, 0, mpf('0.0010117694130100502852650979374556848850900857548753268329176441235608836933572201501958228167068467559976985736690965278168649329385315027536929994111571599164939505990842642816981185092092046882581703967'), [0, mpf('1.0'), 0, 0, mpf('-2.0'), 0, mpf('-1.0'), mpf('1.0'), 0, mpf('-1.0')])
s (0, 0, mpf('0.0012482277396209225220509628414745418754086836113578253622314839382581422928069859373243906473931801629446983086569042117736485322804490677241682235660240482082537783509050405119098431317262185725667998172'), [mpf('1.0'), mpf('1.0'), mpf('0.0'), mpf('-1.0'), 0, mpf('0.0'), mpf('-1.0'), mpf('-1.0'), mpf('0.0'), mpf('-3.0')])
s (0, 0, mpf('0.0011347863469558989675179249306472655465914508900698452844714053549516641638395826630496194694942135066153106798796548287842160962899096519645699235634023327859563135479117228946762031514889445693420402514'), [0, mpf('-1.0'), mpf('-1.0'), mpf('-1.0'), 0, mpf('2.0'), 0, mpf('1.0'), mpf('-1.0'), mpf('-1.0')])
s (0, 0, mpf('0.0012082779530120362315039080516051688929431908681396366555269672780570344669916997033277184015293629102499397450358880768831250660516605745821498769335220604197622591426380514183306389496050656923334853762'), [mpf('1.0'), mpf('-1.0'), 0, mpf('1.0'), mpf('-1.0'), mpf('0.0'), 0, 0, 0, mpf('-3.0')])
s (0, 0, mpf('0.0011531957378333133803549809770605730729435623271268341546660257575800515170765449455185901177156706244578410486022833296925774792070436026037700151997714688029012654918164745737657128483730215176037564495'), [mpf('-1.0'), mpf('-1.0'), 0, 0, mpf('-2.0'), mpf('-1.0'), mpf('1.0'), 0, 0, mpf('-4.0')])
s (0, 0, mpf('0.0010905986690307886439615346662063503134578190785312070202815564637628846454546116925216106710480583159424074290161903351228191362940891823294483923210196198274133415984823295913951296042682514006715361792'), [0, 0, mpf('1.0'), 0, mpf('1.0'), 0, mpf('-1.0'), mpf('-2.0'), 0, mpf('-2.0')])
s (0, 0, mpf('0.0011269749838292700026292013756417017826816038444186107606710501338667140880654657503321224028840886002391516041567813070479355845782084169170060778514502501745548729010944793970751972849650515823914967112'), [mpf('0.0'), mpf('-1.0'), mpf('-1.0'), mpf('1.0'), 0, mpf('1.0'), 0, 0, 0, mpf('-2.0')])
s (0, 0, mpf('0.0011317399301478931128872407278189473708748237850407562277392999914023410224949507025139736786502176611343318279451573111839523886864297875481602748078578056029299288738282177978146746147581440298323969164'), [0, mpf('-1.0'), 0, mpf('1.0'), mpf('-1.0'), 0, 0, 0, mpf('1.0'), mpf('-2.0')])
s (0, 0, mpf('0.0010557240081073624907996043429110354180269299814989719798538672122844752744262556603265216550389906199324527315200055841949513659241550487259428084783431623471953077985109623386661222887111060066505446835'), [0, mpf('-1.0'), mpf('-1.0'), 0, 0, mpf('-2.0'), 0, mpf('2.0'), mpf('0.0'), mpf('-3.0')])
s (0, 0, mpf('0.0014260140981195109015123042661017415830072632269900208324406108800785272874992106901875431614927975660806391899204351763600626317158436892399742056572547819001050538617597408513910096803235443799975079926'), [mpf('0.0'), mpf('0.0'), mpf('1.0'), mpf('2.0'), 0, mpf('-1.0'), mpf('-1.0'), 0, 0, mpf('-3.0')])
s (0, 0, mpf('0.0010102816529957785319868799374837629238646109894317730258205289099492893243896298496525730056635874246239503885207155418673325028439272152929803569102952287669865633712789965232671755174396829591786600401'), [mpf('-1.0'), 0, mpf('-1.0'), mpf('-1.0'), mpf('2.0'), 0, 0, 0, mpf('-1.0'), mpf('-3.0')])
s (0, 0, mpf('0.0010742400344693120537870593520780531460265907398658701030753606695045621093404349091105990926131450625362482947125399621884888729348978637266632058732458988864181313488182613829405830739146280223184068771'), [0, 0, 0, mpf('-2.0'), 0, mpf('1.0'), mpf('0.0'), 0, 0, mpf('-2.0')])
s (0, 0, mpf('0.0010465269971406944646387166546988443557999206113568195409748016617013340727045751156555970280199290706163466716411753420124413915114317171147376243001188976464219478244001682167927246349823818679757804517'), [0, mpf('-1.0'), 0, 0, 0, mpf('1.0'), 0, 0, mpf('-1.0'), mpf('-2.0')])
s (0, 0, mpf('0.0010011855172845025921621681440143342935915592795068155557723929015034044738076558600104975016676097308589850105644774555216974205119807076855117560404044677109465146805069371220382604385376511271077655116'), [mpf('-3.0'), mpf('1.0'), mpf('-2.0'), mpf('-2.0'), mpf('1.0'), 0, mpf('0.0'), 0, mpf('1.0'), mpf('-1.0')])
